date,open,high,low,close,volume
2025-01-02,19.3000000000,20.4600000000,19.1700000000,19.5300000000,11332700
2025-01-03,20.9700000000,21.4800000000,20.5000000000,20.6300000000,38929769
2025-01-06,20.2000000000,21.5100000000,20.2000000000,21.0200000000,28000368
2025-01-07,20.6800000000,20.9200000000,20.2600000000,20.8200000000,16399605
2025-01-08,20.8200000000,21.1500000000,19.3600000000,19.9800000000,18220500
2025-01-09,19.8700000000,20.0600000000,19.5400000000,19.6400000000,9065300
2025-01-10,19.6700000000,20.1600000000,19.2900000000,19.3100000000,9701274
2025-01-13,19.1000000000,19.1800000000,18.4500000000,18.6000000000,11150519
2025-01-14,18.7300000000,19.3700000000,18.5300000000,19.3300000000,7571965
2025-01-15,19.3800000000,19.4000000000,19.0400000000,19.1600000000,5247400
2025-01-16,19.2200000000,19.4900000000,19.0000000000,19.0300000000,5181303
2025-01-17,18.8900000000,19.8500000000,18.8800000000,19.5900000000,7812600
2025-01-20,19.8800000000,20.3500000000,19.7000000000,20.0300000000,8070900
2025-01-21,20.0700000000,20.2000000000,19.8500000000,19.9800000000,4978250
2025-01-22,19.8800000000,19.9600000000,19.6300000000,19.7900000000,4360600
2025-01-23,19.9300000000,20.3900000000,19.8600000000,19.9600000000,7460900
2025-01-24,19.9000000000,20.1300000000,19.8200000000,20.0100000000,4509414
2025-01-27,20.0200000000,20.2600000000,19.6900000000,19.7600000000,3853534
2025-02-05,19.9300000000,21.2100000000,19.8100000000,21.0000000000,15700916
2025-02-06,20.9500000000,21.1500000000,20.6900000000,21.0000000000,8754347
2025-02-07,21.0900000000,21.4300000000,20.8100000000,21.0200000000,9743795
2025-02-10,21.0200000000,21.7700000000,20.8700000000,21.7000000000,14532926
2025-02-11,21.6400000000,21.6700000000,21.3000000000,21.4800000000,7171472
2025-02-12,21.3800000000,21.4300000000,20.8700000000,21.0600000000,10509100
2025-02-13,21.0100000000,21.2000000000,20.8600000000,20.9000000000,5910731
2025-02-14,20.9000000000,21.7600000000,20.9000000000,21.6800000000,13819882
2025-02-17,21.8300000000,22.3500000000,21.7100000000,22.1300000000,15057341
2025-02-18,22.0400000000,22.0900000000,21.3200000000,21.4000000000,9244204
2025-02-19,21.4100000000,21.8600000000,21.2500000000,21.7200000000,7739776
2025-02-20,21.8700000000,22.4700000000,21.7200000000,21.9000000000,9688306
2025-02-21,22.0500000000,22.2200000000,21.7600000000,22.1600000000,9503326
2025-02-24,22.1300000000,22.1500000000,21.5000000000,21.6500000000,9448921
2025-02-25,21.5000000000,21.6200000000,21.2300000000,21.2800000000,6748763
2025-02-26,21.3600000000,21.4600000000,21.1500000000,21.4300000000,7533244
2025-02-27,21.5100000000,21.5600000000,21.0100000000,21.3200000000,6572166
2025-02-28,21.2500000000,21.2800000000,20.6200000000,20.7200000000,8011827
2025-03-03,20.8000000000,21.3200000000,20.8000000000,20.8500000000,5839400
2025-03-04,20.7000000000,21.3700000000,20.6500000000,21.2600000000,5420178
2025-03-05,21.2600000000,21.3000000000,20.7500000000,20.9000000000,7533912
2025-03-06,20.8700000000,21.9500000000,20.8700000000,21.7900000000,14503593
2025-03-07,21.8200000000,23.5000000000,21.7700000000,22.7500000000,26466091
2025-03-10,22.9300000000,23.0800000000,22.2700000000,22.6800000000,11434108
2025-03-11,22.3200000000,22.4900000000,22.1600000000,22.3700000000,7154325
2025-03-12,22.3700000000,22.6500000000,22.1200000000,22.1300000000,6559026
2025-03-13,22.1300000000,22.3100000000,21.6900000000,21.8900000000,6828252
2025-03-14,21.9900000000,22.3800000000,21.7400000000,22.3500000000,9158608
2025-03-17,22.3500000000,22.4500000000,21.9400000000,21.9800000000,6638784
2025-03-18,22.0900000000,22.6000000000,22.0200000000,22.0600000000,6639571
2025-03-19,21.9100000000,22.0700000000,21.8000000000,22.0500000000,5122109
2025-03-20,22.0500000000,22.0700000000,21.6800000000,21.7600000000,5656890
2025-03-21,21.7300000000,21.8000000000,21.1800000000,21.3100000000,5956000
2025-03-24,21.8600000000,23.4400000000,21.8600000000,23.1900000000,42076308
2025-03-25,22.9600000000,23.2500000000,22.4400000000,22.5900000000,23432996
2025-03-26,22.6100000000,22.7600000000,22.0100000000,22.2000000000,13210671
2025-03-27,22.1900000000,22.5400000000,21.4700000000,22.4700000000,13373700
2025-03-28,22.4700000000,24.0400000000,22.3700000000,23.9000000000,33152257
2025-03-31,23.3500000000,23.6100000000,22.8000000000,23.1000000000,19403510
2025-04-01,23.5000000000,25.4000000000,23.3500000000,24.3900000000,31483872
2025-04-02,24.0300000000,24.6000000000,23.8900000000,24.1000000000,15354123
2025-04-03,23.7200000000,25.1600000000,23.6500000000,23.7000000000,20436514
2025-04-07,22.0500000000,22.9300000000,21.3300000000,21.3300000000,20484200
2025-04-08,21.4700000000,21.7200000000,20.1500000000,20.7000000000,21413801
2025-04-09,20.0000000000,20.6400000000,18.9000000000,20.4500000000,17606300
2025-04-10,20.9700000000,21.4100000000,20.7900000000,20.9300000000,15676069
2025-04-11,20.6200000000,22.1100000000,20.5700000000,21.3300000000,17701086
2025-04-14,21.4900000000,22.2100000000,21.4600000000,21.7400000000,11646200
2025-04-15,21.7400000000,21.9700000000,21.3900000000,21.7500000000,7508039
2025-04-16,21.8000000000,21.8300000000,20.8900000000,21.1500000000,9095000
2025-04-17,20.9600000000,21.5400000000,20.9600000000,21.2700000000,5914459
2025-04-18,21.4000000000,21.8400000000,21.0900000000,21.2600000000,5749100
2025-04-21,21.3100000000,22.5500000000,21.3100000000,22.3000000000,14432079
2025-04-22,22.1300000000,22.6200000000,21.9500000000,22.3600000000,8419007
2025-04-23,22.4500000000,22.7500000000,22.3300000000,22.4500000000,6820109
2025-04-24,22.5100000000,22.7600000000,22.1700000000,22.3800000000,7354807
2025-04-25,21.8900000000,21.8900000000,21.1600000000,21.5400000000,17489434
2025-04-28,21.5000000000,22.0500000000,21.1200000000,21.8000000000,11986183
2025-04-29,21.7900000000,22.0500000000,21.6100000000,21.7300000000,6379300
2025-04-30,21.7300000000,21.9600000000,20.9800000000,20.9800000000,13280560
2025-05-06,21.1600000000,21.6800000000,21.0500000000,21.6000000000,8180431
2025-05-07,21.8000000000,22.2000000000,21.5800000000,21.7500000000,7807916
2025-05-08,21.6800000000,22.3500000000,21.6500000000,21.9700000000,8065340
2025-05-09,21.9000000000,22.1500000000,21.6900000000,21.9900000000,6444672
2025-05-12,22.0900000000,22.4500000000,21.8500000000,22.2300000000,8911663
2025-05-13,22.1800000000,22.4100000000,21.7500000000,22.2000000000,7935100
2025-05-14,22.2000000000,22.3100000000,21.9800000000,22.2400000000,5686800
2025-05-15,22.2000000000,22.4400000000,21.8300000000,22.2800000000,6265300
2025-05-16,22.2800000000,22.8800000000,22.2300000000,22.6900000000,11046483
2025-05-19,22.6600000000,22.7900000000,22.4000000000,22.5300000000,7027535
2025-05-20,22.4900000000,23.2900000000,22.4900000000,22.8700000000,9114830
2025-05-21,22.7600000000,23.0200000000,22.3500000000,22.4300000000,9609266
2025-05-22,22.3700000000,22.5200000000,21.9500000000,22.0800000000,7804200
2025-05-23,22.0800000000,22.9400000000,21.8000000000,22.1900000000,10970669
2025-05-26,22.1500000000,22.2100000000,21.7200000000,21.8800000000,6688279
2025-05-27,21.8400000000,22.0400000000,21.6800000000,21.9200000000,4642100
2025-05-28,21.8800000000,22.0900000000,21.2500000000,21.4400000000,8371240
2025-05-29,21.4300000000,22.4700000000,21.2800000000,22.3400000000,11683200
2025-05-30,22.3000000000,22.9000000000,22.2200000000,22.5200000000,11727569
2025-06-03,22.3800000000,24.4600000000,22.3300000000,23.8700000000,24452577
2025-06-04,24.0400000000,24.5700000000,23.7500000000,24.0800000000,13682438
2025-06-05,24.0900000000,24.2800000000,23.5000000000,23.6900000000,9296022
2025-06-06,23.6700000000,23.7900000000,23.2600000000,23.3900000000,6495900
2025-06-09,23.4900000000,24.2100000000,23.4500000000,23.6400000000,12156700
2025-06-10,23.5800000000,25.8800000000,23.2500000000,25.2600000000,34254386
2025-06-11,25.0100000000,25.1900000000,24.5700000000,24.9600000000,20158001
2025-06-12,24.9600000000,25.5000000000,24.9100000000,25.0700000000,14724600
2025-06-13,24.7300000000,25.5000000000,23.6900000000,23.6900000000,25477431
2025-06-16,23.7300000000,24.2400000000,23.5100000000,23.9500000000,10669052
2025-06-17,24.2800000000,24.5000000000,23.3800000000,23.5600000000,10305186
2025-06-18,23.3300000000,23.5000000000,22.9900000000,23.1500000000,7147022
2025-06-19,23.0800000000,23.3000000000,22.6800000000,22.7100000000,7868317
2025-06-20,22.7500000000,22.8600000000,22.5800000000,22.6000000000,5154386
2025-06-23,22.5000000000,22.8300000000,22.3300000000,22.7000000000,5867700
2025-06-24,22.9500000000,23.5000000000,22.9500000000,23.1400000000,8316300
2025-06-25,23.1600000000,23.3000000000,22.8600000000,23.1400000000,7804500
2025-06-26,23.1000000000,23.1600000000,22.8100000000,22.8500000000,6362953
2025-06-27,22.9900000000,23.6600000000,22.8700000000,23.0500000000,10049700
2025-06-30,23.1000000000,23.4800000000,22.7600000000,23.2000000000,11519645
2025-07-01,23.2000000000,23.4600000000,22.9100000000,23.4200000000,8668140
2025-07-02,23.4000000000,23.4000000000,22.8800000000,22.9700000000,8291000
2025-07-03,22.9300000000,24.0000000000,22.9200000000,23.5200000000,12320745
2025-07-04,24.9400000000,25.8700000000,24.4700000000,25.8700000000,35722646
2025-07-07,26.0000000000,26.9000000000,25.7500000000,25.7500000000,40195394
2025-07-08,25.6100000000,27.2900000000,25.5300000000,26.7500000000,32557355
2025-07-09,26.6800000000,26.9800000000,26.0200000000,26.1600000000,20673554
2025-07-10,26.1000000000,26.4800000000,25.8000000000,26.2000000000,15449311
2025-07-11,26.1900000000,26.9000000000,26.0200000000,26.4800000000,15851043
2025-07-14,26.6600000000,27.7000000000,26.0000000000,26.2400000000,15692531
2025-07-15,26.3900000000,26.4300000000,25.6800000000,26.2000000000,12835303
2025-07-16,26.0600000000,26.3200000000,25.9200000000,26.0100000000,7748101
2025-07-17,25.9500000000,26.7800000000,25.8900000000,26.6000000000,15767000
2025-07-18,26.4200000000,26.7600000000,26.3100000000,26.7100000000,9898247
2025-07-21,26.7000000000,26.7900000000,26.2400000000,26.4800000000,10159094
2025-07-22,26.5600000000,27.3500000000,26.4000000000,26.6300000000,14331100
2025-07-23,26.3700000000,28.2000000000,26.2100000000,27.4200000000,24086959
2025-07-24,27.4100000000,27.9600000000,27.1100000000,27.4100000000,14002138
2025-07-25,27.5600000000,27.9900000000,26.7900000000,26.8100000000,14172169
2025-07-28,26.8200000000,27.2900000000,26.5000000000,26.9800000000,12523100
2025-07-29,27.0500000000,27.4100000000,26.5000000000,27.4100000000,17224024
2025-07-30,27.3500000000,27.6600000000,26.9600000000,27.1800000000,13339978
2025-07-31,27.1400000000,27.8000000000,26.2000000000,26.5000000000,17621043
2025-08-01,26.5000000000,27.3700000000,26.0800000000,26.1000000000,16564143
2025-08-04,26.0000000000,26.4400000000,25.6100000000,26.3500000000,11573400
2025-08-05,26.6100000000,27.9800000000,26.4100000000,27.1600000000,19470530
2025-08-06,27.0700000000,27.4900000000,26.6200000000,26.9800000000,10892500
2025-08-07,26.9600000000,27.3000000000,26.2900000000,26.4000000000,12224767
2025-08-08,26.3700000000,26.9200000000,26.0400000000,26.3300000000,9087801
2025-08-11,26.1100000000,26.9800000000,26.1100000000,26.6200000000,9689635
2025-08-12,26.6400000000,27.3800000000,26.2800000000,26.4900000000,10118430
2025-08-13,26.9000000000,27.6000000000,26.6000000000,27.3200000000,22375470
2025-08-14,27.3000000000,28.1700000000,26.9100000000,27.1600000000,24547790
2025-08-15,27.0600000000,27.6000000000,26.6200000000,27.5900000000,14467128
2025-08-18,27.8900000000,29.9900000000,27.8700000000,29.2100000000,33056038
2025-08-19,29.1000000000,29.7000000000,28.5800000000,28.7200000000,17344010
2025-08-20,28.7200000000,30.3200000000,28.7200000000,29.6600000000,23371933
2025-08-21,29.6700000000,29.6700000000,28.3400000000,28.5100000000,22483933
2025-08-22,28.5100000000,28.9000000000,28.2900000000,28.5000000000,12594667
2025-08-25,28.3300000000,28.7400000000,28.0500000000,28.2600000000,14943118
2025-08-26,28.2000000000,28.2500000000,27.8000000000,27.8700000000,9583801
2025-08-27,27.8900000000,28.1100000000,26.8000000000,26.8000000000,12890297
2025-08-28,26.8000000000,26.9000000000,25.4000000000,25.9200000000,24916613
2025-08-29,26.0000000000,26.4300000000,26.0000000000,26.1600000000,9899291
2025-09-01,26.1600000000,26.4300000000,25.9200000000,26.4200000000,10499607
2025-09-02,26.4100000000,26.4900000000,25.3000000000,25.6200000000,12651853
2025-09-03,25.6200000000,26.1500000000,25.4800000000,25.5100000000,8653001
2025-09-04,25.5100000000,25.7000000000,24.5300000000,24.8300000000,10439107
2025-09-05,24.9700000000,25.3300000000,24.7100000000,25.2500000000,8009019
2025-09-08,25.3700000000,25.5500000000,25.0200000000,25.4300000000,8537910
2025-09-09,25.4400000000,25.5600000000,24.6600000000,24.8600000000,9536600
2025-09-10,24.9800000000,25.2700000000,24.9000000000,24.9400000000,5796040
2025-09-11,24.7100000000,25.2200000000,24.2700000000,25.2100000000,6940300
2025-09-12,25.2100000000,25.4200000000,24.8300000000,25.2300000000,7757986
2025-09-15,25.3800000000,25.8900000000,24.9600000000,25.1600000000,8312511
2025-09-16,25.7000000000,25.9800000000,25.4000000000,25.4900000000,11656200
2025-09-17,25.3300000000,25.4000000000,25.0300000000,25.2000000000,6551301
2025-09-18,25.1200000000,25.4900000000,24.6800000000,24.7800000000,11658561
2025-09-19,24.8500000000,24.9800000000,24.2900000000,24.4300000000,8367300
2025-09-22,24.5100000000,24.7400000000,24.3100000000,24.6600000000,5683690
2025-09-23,24.6000000000,24.6200000000,23.7600000000,24.1900000000,8634600
2025-09-24,24.1000000000,24.4800000000,24.0100000000,24.4400000000,5243000
2025-09-25,24.4900000000,24.6300000000,24.1100000000,24.1600000000,4888246
2025-09-26,24.0800000000,24.0900000000,23.8000000000,23.8000000000,5801592
2025-09-29,23.8700000000,23.9900000000,23.4000000000,23.8700000000,5644600
2025-09-30,24.0800000000,25.2600000000,23.9100000000,24.7200000000,13470899
2025-10-09,24.9000000000,24.9100000000,24.2400000000,24.4800000000,7542700
2025-10-10,24.4500000000,24.6300000000,24.2900000000,24.3700000000,5799530
2025-10-13,23.6800000000,24.7000000000,23.6800000000,24.6400000000,9567852
2025-10-14,24.5300000000,25.0900000000,24.4800000000,24.7000000000,10687061
2025-10-15,24.9600000000,25.8000000000,24.8500000000,25.1900000000,11226243
2025-10-16,25.1500000000,25.3500000000,24.8900000000,24.9600000000,7293840
2025-10-17,24.9100000000,25.0700000000,24.0000000000,24.0800000000,7391179
2025-10-20,24.2800000000,24.3600000000,23.8400000000,23.9600000000,5309119
2025-10-21,23.9600000000,24.2700000000,23.9100000000,24.1100000000,4094088
2025-10-22,24.0200000000,24.2600000000,23.7900000000,23.8500000000,4421500
2025-10-23,23.8400000000,23.8400000000,23.1500000000,23.5500000000,6755700
2025-10-24,23.4600000000,23.8300000000,23.4500000000,23.5400000000,4395770
2025-10-27,23.7000000000,24.1700000000,23.6000000000,23.9800000000,6473930
2025-10-28,23.8800000000,24.0400000000,23.5900000000,23.8000000000,5033399
2025-10-29,23.7000000000,23.8900000000,23.4400000000,23.8200000000,4896249
2025-10-30,24.0300000000,24.6000000000,23.9000000000,24.3900000000,10631159
2025-10-31,24.5100000000,24.8000000000,24.3900000000,24.6600000000,7701698
2025-11-03,26.5000000000,26.5000000000,25.0500000000,25.4800000000,17018199
2025-11-04,25.5100000000,25.5100000000,24.7500000000,24.8600000000,8388689
2025-11-05,24.6500000000,25.1600000000,24.5800000000,24.7700000000,6106099
2025-11-06,24.7200000000,24.7900000000,24.4700000000,24.7200000000,4974659
2025-11-07,24.7800000000,24.8000000000,24.4800000000,24.6000000000,4066669
2025-11-10,24.9000000000,27.0600000000,24.9000000000,26.7800000000,35612628
2025-11-11,26.5100000000,26.6000000000,25.8600000000,26.0100000000,22322656
2025-11-12,26.1800000000,28.6100000000,26.1700000000,28.6100000000,31138499
2025-11-13,29.2700000000,29.2700000000,28.1500000000,28.2700000000,32140068
2025-11-14,28.1100000000,29.5400000000,28.1100000000,28.6600000000,27433702
2025-11-17,28.3800000000,28.6100000000,27.5200000000,27.5800000000,19074611
2025-11-18,27.4000000000,28.3100000000,27.2500000000,27.4300000000,14516532
2025-11-19,27.4500000000,27.6700000000,26.5500000000,26.8500000000,12126164
2025-11-20,26.7800000000,27.0500000000,26.3000000000,26.5200000000,8253210
2025-11-21,26.2000000000,26.8400000000,25.4500000000,25.6600000000,12635659
2025-11-24,26.0100000000,28.2300000000,26.0100000000,28.2300000000,16905182
2025-11-25,28.5100000000,28.9200000000,28.3000000000,28.6700000000,23951101
2025-11-26,28.8700000000,29.0500000000,28.3700000000,28.4900000000,16560825
2025-11-27,28.8300000000,29.2800000000,28.4600000000,28.4800000000,13294528
2025-11-28,28.8300000000,28.8500000000,27.7200000000,28.4100000000,13477500
2025-12-01,28.4300000000,29.0700000000,28.2600000000,28.7000000000,11762830
2025-12-02,28.4300000000,28.6600000000,28.0200000000,28.3900000000,7814052
2025-12-03,28.2100000000,28.5200000000,27.7500000000,27.8100000000,7637000
2025-12-04,27.8100000000,29.0600000000,27.6100000000,28.7800000000,15978380
2025-12-05,28.5700000000,28.8200000000,28.3600000000,28.7600000000,9846535
2025-12-08,28.9000000000,29.3700000000,27.0000000000,27.8300000000,17221918
2025-12-09,27.8200000000,27.9800000000,27.0100000000,27.0800000000,10276102
